time,gFx,gFy,gFz,TgF
16:49:11:036,0.9812,0.0263,0.0057,0.982
16:49:11:037,0.9924,0.0236,0.0360,0.993
16:49:11:042,0.9924,0.0293,0.0519,0.994
16:49:11:047,0.9844,0.0383,0.0455,0.986
16:49:11:052,0.9805,0.0434,0.0323,0.982
16:49:11:065,0.9795,0.0415,0.0257,0.981
16:49:11:066,0.9822,0.0390,0.0267,0.983
16:49:11:069,0.9880,0.0386,0.0311,0.989
16:49:11:071,0.9915,0.0381,0.0377,0.993
16:49:11:077,0.9920,0.0398,0.0467,0.994
16:49:11:082,0.9912,0.0422,0.0553,0.994
16:49:11:087,0.9905,0.0437,0.0614,0.993
16:49:11:092,0.9905,0.0442,0.0624,0.993
16:49:11:097,0.9917,0.0430,0.0599,0.994
16:49:11:103,0.9946,0.0324,0.0516,0.997
16:49:11:108,0.9949,0.0298,0.0448,0.996
16:49:11:112,0.9895,0.0334,0.0416,0.991
16:49:11:118,0.9822,0.0381,0.0416,0.984
16:49:11:122,0.9768,0.0398,0.0428,0.979
16:49:11:128,0.9741,0.0415,0.0391,0.976
16:49:11:133,0.9746,0.0417,0.0308,0.976
16:49:11:137,0.9785,0.0434,0.0286,0.980
16:49:11:147,0.9839,0.0361,0.0291,0.985
16:49:11:148,0.9827,0.0346,0.0235,0.984
16:49:11:153,0.9783,0.0420,0.0086,0.979
16:49:11:158,0.9724,0.0447,-0.0051,0.973
16:49:11:162,0.9636,0.0420,-0.0100,0.965
16:49:11:168,0.9531,0.0425,0.0027,0.954
16:49:11:173,0.9492,0.0454,0.0174,0.950
16:49:11:178,0.9602,0.0535,0.0076,0.962
16:49:11:182,0.9722,0.0439,-0.0051,0.973
16:49:11:188,0.9731,0.0320,-0.0093,0.974
16:49:11:193,0.9678,0.0298,-0.0100,0.968
16:49:11:199,0.9616,0.0312,-0.0100,0.962
16:49:11:203,0.9558,0.0368,-0.0129,0.957
16:49:11:209,0.9572,0.0410,-0.0144,0.958
16:49:11:212,0.9607,0.0346,-0.0122,0.961
16:49:11:217,0.9621,0.0285,-0.0085,0.963
16:49:11:223,0.9651,0.0251,-0.0041,0.965
16:49:11:228,0.9685,0.0239,0.0003,0.969
16:49:11:233,0.9685,0.0298,0.0044,0.969
16:49:11:238,0.9702,0.0405,0.0079,0.971
16:49:11:248,0.9734,0.0383,0.0093,0.974
16:49:11:253,0.9719,0.0339,0.0101,0.973
16:49:11:254,0.9709,0.0346,-0.0007,0.972
16:49:11:258,0.9678,0.0381,-0.0085,0.969
16:49:11:265,0.9634,0.0422,-0.0154,0.964
16:49:11:270,0.9585,0.0434,-0.0239,0.960
16:49:11:276,0.9477,0.0339,-0.0335,0.949
16:49:11:278,0.9387,0.0266,-0.0474,0.940
16:49:11:282,0.9323,0.0241,-0.0550,0.934
16:49:11:289,0.9250,0.0251,-0.0555,0.927
16:49:11:293,0.9191,0.0293,-0.0564,0.921
16:49:11:299,0.9176,0.0327,-0.0591,0.920
16:49:11:303,0.9159,0.0290,-0.0699,0.919
16:49:11:309,0.9108,0.0324,-0.0760,0.915
16:49:11:313,0.9066,0.0381,-0.0770,0.911
16:49:11:319,0.9020,0.0417,-0.0706,0.906
16:49:11:324,0.8961,0.0452,-0.0635,0.900
16:49:11:329,0.8947,0.0471,-0.0591,0.898
16:49:11:333,0.8986,0.0474,-0.0547,0.901
