time,gFx,gFy,gFz,TgF
16:39:34:025,0.9543,-0.0113,0.2364,0.983
16:39:34:026,0.9516,-0.0069,0.2503,0.984
16:39:34:027,0.9548,-0.0071,0.2601,0.990
16:39:34:034,0.9592,-0.0101,0.2616,0.994
16:39:34:035,0.9624,-0.0145,0.2586,0.997
16:39:34:043,0.9648,-0.0167,0.2547,0.998
16:39:34:047,0.9663,-0.0150,0.2535,0.999
16:39:34:050,0.9668,-0.0142,0.2547,1.000
16:39:34:056,0.9646,-0.0140,0.2562,0.998
16:39:34:061,0.9609,-0.0118,0.2596,0.995
16:39:34:066,0.9575,-0.0098,0.2633,0.993
16:39:34:070,0.9558,-0.0084,0.2667,0.992
16:39:34:078,0.9550,-0.0076,0.2687,0.992
16:39:34:081,0.9538,-0.0079,0.2662,0.990
16:39:34:086,0.9526,-0.0089,0.2601,0.988
16:39:34:092,0.9511,-0.0101,0.2538,0.984
16:39:34:096,0.9497,-0.0113,0.2494,0.982
16:39:34:101,0.9480,-0.0113,0.2511,0.981
16:39:34:106,0.9472,-0.0115,0.2555,0.981
16:39:34:111,0.9477,-0.0106,0.2584,0.982
16:39:34:116,0.9492,-0.0115,0.2591,0.984
16:39:34:121,0.9516,-0.0118,0.2586,0.986
16:39:34:134,0.9526,-0.0113,0.2606,0.988
16:39:34:135,0.9528,-0.0108,0.2645,0.989
16:39:34:136,0.9565,-0.0108,0.2670,0.993
16:39:34:141,0.9626,-0.0118,0.2652,0.999
16:39:34:148,0.9646,-0.0123,0.2604,0.999
16:39:34:151,0.9634,-0.0111,0.2577,0.997
16:39:34:156,0.9631,-0.0108,0.2574,0.997
16:39:34:162,0.9636,-0.0111,0.2577,0.998
16:39:34:167,0.9643,-0.0108,0.2564,0.998
16:39:34:171,0.9634,-0.0108,0.2555,0.997
16:39:34:176,0.9636,-0.0103,0.2542,0.997
16:39:34:181,0.9641,-0.0106,0.2538,0.997
16:39:34:187,0.9629,-0.0106,0.2552,0.996
16:39:34:193,0.9597,-0.0111,0.2567,0.993
16:39:34:197,0.9577,-0.0111,0.2562,0.991
16:39:34:201,0.9555,-0.0115,0.2567,0.989
16:39:34:206,0.9526,-0.0108,0.2599,0.987
16:39:34:212,0.9502,-0.0084,0.2628,0.986
16:39:34:217,0.9489,-0.0064,0.2638,0.985
16:39:34:222,0.9511,-0.0059,0.2638,0.987
16:39:34:233,0.9531,-0.0071,0.2618,0.988
16:39:34:234,0.9553,-0.0089,0.2591,0.990
16:39:34:236,0.9550,-0.0084,0.2586,0.989
16:39:34:242,0.9536,-0.0071,0.2594,0.988
16:39:34:248,0.9543,-0.0069,0.2599,0.989
16:39:34:252,0.9531,-0.0074,0.2594,0.988
16:39:34:257,0.9511,-0.0067,0.2589,0.986
16:39:34:261,0.9521,-0.0076,0.2594,0.987
16:39:34:267,0.9538,-0.0096,0.2599,0.989
16:39:34:272,0.9555,-0.0115,0.2608,0.991
16:39:34:277,0.9560,-0.0123,0.2616,0.991
16:39:34:281,0.9546,-0.0118,0.2616,0.990
16:39:34:287,0.9541,-0.0118,0.2618,0.989
16:39:34:293,0.9553,-0.0118,0.2613,0.990
16:39:34:297,0.9553,-0.0120,0.2621,0.991
16:39:34:302,0.9524,-0.0111,0.2626,0.988
16:39:34:307,0.9497,-0.0086,0.2621,0.985
16:39:34:312,0.9502,-0.0079,0.2611,0.985
16:39:34:317,0.9531,-0.0084,0.2579,0.987
16:39:34:322,0.9553,-0.0096,0.2562,0.989
16:39:34:336,0.9575,-0.0103,0.2579,0.992
16:39:34:337,0.9577,-0.0098,0.2601,0.992
16:39:34:338,0.9587,-0.0111,0.2608,0.994
16:39:34:342,0.9592,-0.0118,0.2611,0.994
16:39:34:347,0.9590,-0.0108,0.2611,0.994
16:39:34:352,0.9614,-0.0113,0.2628,0.997
16:39:34:357,0.9621,-0.0123,0.2662,0.998
16:39:34:362,0.9612,-0.0128,0.2679,0.998
16:39:34:368,0.9592,-0.0130,0.2679,0.996
16:39:34:372,0.9570,-0.0125,0.2677,0.994
16:39:34:377,0.9546,-0.0115,0.2665,0.991
16:39:34:382,0.9531,-0.0113,0.2648,0.989
16:39:34:387,0.9524,-0.0113,0.2648,0.989
