time,gFx,gFy,gFz,TgF
16:43:35:492,0.9800,0.0295,0.1428,0.991
16:43:35:494,0.9834,0.0312,0.1538,0.996
16:43:35:495,0.9829,0.0366,0.1672,0.998
16:43:35:500,0.9719,0.0452,0.1777,0.989
16:43:35:504,0.9619,0.0508,0.1812,0.980
16:43:35:509,0.9580,0.0500,0.1792,0.976
16:43:35:522,0.9612,0.0444,0.1750,0.978
16:43:35:523,0.9656,0.0393,0.1694,0.981
16:43:35:526,0.9682,0.0364,0.1631,0.983
16:43:35:531,0.9678,0.0376,0.1572,0.981
16:43:35:535,0.9653,0.0410,0.1555,0.979
16:43:35:539,0.9653,0.0427,0.1565,0.979
16:43:35:544,0.9660,0.0425,0.1599,0.980
16:43:35:550,0.9660,0.0398,0.1658,0.981
16:43:35:554,0.9668,0.0366,0.1711,0.982
16:43:35:559,0.9682,0.0349,0.1750,0.985
16:43:35:565,0.9692,0.0356,0.1765,0.986
16:43:35:570,0.9695,0.0368,0.1758,0.986
16:43:35:574,0.9719,0.0368,0.1736,0.988
16:43:35:579,0.9751,0.0346,0.1721,0.991
16:43:35:588,0.9785,0.0324,0.1724,0.994
16:43:35:590,0.9817,0.0322,0.1733,0.997
16:43:35:594,0.9839,0.0339,0.1736,1.000
16:43:35:601,0.9844,0.0371,0.1733,1.000
16:43:35:604,0.9822,0.0405,0.1728,0.998
16:43:35:610,0.9758,0.0422,0.1753,0.992
16:43:35:615,0.9670,0.0427,0.1799,0.985
16:43:35:620,0.9634,0.0427,0.1834,0.982
16:43:35:625,0.9634,0.0427,0.1853,0.982
16:43:35:631,0.9653,0.0425,0.1846,0.984
16:43:35:635,0.9658,0.0420,0.1799,0.983
16:43:35:640,0.9656,0.0427,0.1753,0.982
16:43:35:645,0.9643,0.0444,0.1704,0.980
16:43:35:650,0.9612,0.0461,0.1643,0.976
16:43:35:654,0.9599,0.0466,0.1570,0.974
16:43:35:659,0.9634,0.0437,0.1496,0.976
16:43:35:673,0.9687,0.0415,0.1438,0.980
16:43:35:674,0.9695,0.0437,0.1416,0.981
16:43:35:675,0.9682,0.0469,0.1406,0.980
16:43:35:680,0.9692,0.0447,0.1418,0.981
16:43:35:689,0.9717,0.0400,0.1447,0.983
16:43:35:690,0.9731,0.0356,0.1496,0.985
16:43:35:695,0.9714,0.0349,0.1567,0.985
16:43:35:700,0.9687,0.0354,0.1655,0.983
16:43:35:705,0.9665,0.0381,0.1719,0.982
16:43:35:711,0.9673,0.0395,0.1736,0.984
16:43:35:715,0.9707,0.0373,0.1694,0.986
