time,gFx,gFy,gFz,TgF
17:30:59:066,0.9832,0.0126,0.0783,0.986
17:30:59:067,0.9929,0.0170,0.0971,0.998
17:30:59:071,0.9976,0.0210,0.0949,1.002
17:30:59:077,0.9961,0.0236,0.0792,1.000
17:30:59:082,0.9944,0.0258,0.0587,0.996
17:30:59:086,0.9917,0.0290,0.0440,0.993
17:30:59:091,0.9871,0.0329,0.0382,0.988
17:30:59:097,0.9841,0.0356,0.0411,0.986
17:30:59:103,0.9858,0.0356,0.0477,0.988
17:30:59:106,0.9946,0.0351,0.0553,0.997
17:30:59:112,1.0061,0.0329,0.0629,1.009
17:30:59:117,1.0137,0.0285,0.0707,1.017
17:30:59:123,1.0196,0.0249,0.0787,1.023
17:30:59:126,1.0203,0.0224,0.0873,1.024
17:30:59:131,1.0154,0.0197,0.0927,1.020
17:30:59:137,1.0115,0.0183,0.0932,1.016
17:30:59:142,1.0081,0.0178,0.0924,1.012
17:30:59:147,1.0083,0.0175,0.0917,1.013
17:30:59:158,1.0098,0.0166,0.0912,1.014
17:30:59:159,1.0069,0.0178,0.0900,1.011
17:30:59:162,1.0015,0.0195,0.0890,1.006
17:30:59:167,0.9942,0.0210,0.0878,0.998
17:30:59:172,0.9832,0.0241,0.0839,0.987
17:30:59:176,0.9780,0.0254,0.0741,0.981
17:30:59:182,0.9800,0.0258,0.0619,0.982
17:30:59:188,0.9680,0.0324,0.0531,0.970
17:30:59:191,0.9482,0.0405,0.0519,0.950
17:30:59:198,0.9328,0.0444,0.0553,0.935
17:30:59:204,0.9318,0.0393,0.0646,0.935
17:30:59:207,0.9355,0.0346,0.0719,0.939
17:30:59:211,0.9277,0.0388,0.0839,0.932
17:30:59:216,0.9154,0.0476,0.0985,0.922
17:30:59:222,0.9164,0.0474,0.1056,0.924
17:30:59:226,0.9206,0.0498,0.1039,0.928
17:30:59:232,0.9118,0.0593,0.1012,0.919
17:30:59:242,0.9130,0.0571,0.1015,0.920
17:30:59:243,0.9250,0.0532,0.1161,0.934
17:30:59:247,0.9318,0.0469,0.1692,0.948
17:30:59:252,0.9531,0.0320,0.1931,0.973
17:30:59:258,0.9949,0.0148,0.1281,1.003
17:30:59:264,1.0213,0.0051,0.0680,1.024
17:30:59:273,1.0220,0.0004,0.0367,1.023
17:30:59:274,0.9971,0.0065,0.0267,0.997
17:30:59:277,0.9719,0.0168,0.0343,0.973
17:30:59:282,0.9548,0.0239,0.0492,0.956
17:30:59:287,0.9401,0.0271,0.0702,0.943
17:30:59:293,0.9465,0.0258,0.0900,0.951
17:30:59:297,0.9722,0.0276,0.0993,0.978
17:30:59:303,0.9873,0.0403,0.0934,0.993
17:30:59:307,0.9878,0.0522,0.0768,0.992
17:30:59:312,0.9871,0.0615,0.0636,0.991
17:30:59:318,0.9788,0.0701,0.0651,0.983
17:30:59:322,0.9629,0.0789,0.0739,0.969
17:30:59:328,0.9458,0.0943,0.0761,0.953
17:30:59:333,0.9311,0.1116,0.0692,0.940
17:30:59:337,0.9162,0.1241,0.0646,0.927
17:30:59:343,0.8900,0.1317,0.0670,0.902
17:30:59:347,0.8905,0.1398,0.0939,0.906
17:30:59:360,0.9184,0.1334,0.1078,0.934
17:30:59:361,0.9338,0.1141,0.1188,0.948
17:30:59:363,0.9418,0.1050,0.1320,0.957
17:30:59:367,0.9548,0.1014,0.1413,0.971
17:30:59:373,0.9577,0.0940,0.1469,0.973
17:30:59:380,0.9775,0.0867,0.1638,0.995
17:30:59:382,0.9746,0.0808,0.1851,0.995
17:30:59:389,0.9954,0.0804,0.2164,1.022
17:30:59:392,1.0118,0.0786,0.2415,1.043
17:30:59:397,1.0235,0.0755,0.2608,1.059
17:30:59:404,1.0418,0.0728,0.2821,1.082
17:30:59:408,1.0487,0.0689,0.2982,1.092
17:30:59:412,1.0455,0.0718,0.3112,1.093
17:30:59:418,1.0362,0.0799,0.3220,1.088
17:30:59:423,1.0259,0.0877,0.3283,1.081
17:30:59:428,1.0228,0.0870,0.3259,1.077
17:30:59:433,1.0257,0.0838,0.3090,1.074
17:30:59:438,1.0289,0.0823,0.2762,1.068
17:30:59:444,1.0174,0.0852,0.2278,1.046
17:30:59:448,1.0108,0.0872,0.1790,1.030
17:30:59:461,1.0286,0.0764,0.1499,1.042
17:30:59:462,1.0584,0.0562,0.1306,1.068
17:30:59:463,1.0704,0.0483,0.1034,1.076
17:30:59:469,1.0614,0.0586,0.0800,1.066
17:30:59:473,1.0384,0.0764,0.0721,1.044
17:30:59:478,1.0005,0.1070,0.0834,1.010
17:30:59:492,0.9824,0.1253,0.1130,0.997
17:30:59:493,0.9907,0.1187,0.1528,1.009
17:30:59:493,1.0188,0.1033,0.1882,1.041
17:30:59:498,1.0279,0.0889,0.1968,1.050
17:30:59:503,1.0176,0.0843,0.1892,1.038
17:30:59:508,0.9981,0.0889,0.1765,1.017
17:30:59:514,0.9753,0.0938,0.1616,0.993
17:30:59:518,0.9580,0.0975,0.1504,0.975
17:30:59:523,0.9467,0.0997,0.1469,0.963
17:30:59:529,0.9379,0.1002,0.1496,0.955
17:30:59:535,0.9264,0.1021,0.1523,0.944
17:30:59:539,0.9164,0.1048,0.1540,0.935
17:30:59:544,0.9103,0.1055,0.1457,0.928
17:30:59:549,0.9142,0.1075,0.1303,0.930
17:30:59:560,0.9321,0.1097,0.1156,0.946
17:30:59:561,0.9421,0.1129,0.1007,0.954
17:30:59:564,0.9370,0.1156,0.0907,0.948
17:30:59:568,0.9345,0.1168,0.0917,0.946
17:30:59:573,0.9460,0.1136,0.0976,0.958
17:30:59:579,0.9458,0.1094,0.0963,0.957
17:30:59:584,0.9436,0.1070,0.0961,0.954
17:30:59:592,0.9404,0.1055,0.0985,0.951
17:30:59:593,0.9377,0.1053,0.1039,0.949
17:30:59:599,0.9379,0.1055,0.1115,0.950
17:30:59:604,0.9416,0.1048,0.1198,0.955
17:30:59:609,0.9453,0.1036,0.1276,0.959
17:30:59:613,0.9477,0.1026,0.1391,0.963
17:30:59:618,0.9550,0.1046,0.1508,0.973
17:30:59:624,0.9660,0.1060,0.1626,0.985
17:30:59:628,0.9741,0.1055,0.1716,0.995
17:30:59:635,0.9756,0.1033,0.1731,0.996
17:30:59:638,0.9692,0.1065,0.1719,0.990
17:30:59:644,0.9638,0.1080,0.1706,0.985
17:30:59:649,0.9558,0.1094,0.1611,0.975
17:30:59:662,0.9458,0.1134,0.1491,0.964
17:30:59:663,0.9355,0.1170,0.1438,0.954
17:30:59:664,0.9262,0.1180,0.1440,0.945
17:30:59:669,0.9387,0.1116,0.1469,0.957
17:30:59:674,0.9394,0.0999,0.1438,0.956
17:30:59:678,0.9448,0.0867,0.1518,0.961
17:30:59:689,0.9616,0.0738,0.1694,0.979
17:30:59:691,0.9638,0.0647,0.1821,0.983
17:30:59:694,0.9599,0.0628,0.1956,0.982
17:30:59:699,0.9509,0.0676,0.2076,0.976
17:30:59:704,0.9480,0.0728,0.2149,0.975
17:30:59:708,0.9526,0.0738,0.2198,0.980
17:30:59:714,0.9533,0.0762,0.2232,0.982
17:30:59:719,0.9499,0.0784,0.2200,0.978
17:30:59:724,0.9492,0.0769,0.2088,0.975
17:30:59:729,0.9543,0.0742,0.1931,0.976
17:30:59:734,0.9572,0.0747,0.1753,0.976
17:30:59:740,0.9572,0.0786,0.1645,0.974
17:30:59:745,0.9597,0.0838,0.1662,0.978
17:30:59:750,0.9685,0.0840,0.1799,0.989
17:30:59:761,0.9770,0.0855,0.1983,1.001
17:30:59:762,0.9849,0.0870,0.2146,1.012
17:30:59:765,0.9978,0.0884,0.2269,1.027
17:30:59:769,1.0140,0.0877,0.2371,1.045
17:30:59:774,1.0303,0.0877,0.2454,1.063
17:30:59:781,1.0399,0.0911,0.2474,1.073
17:30:59:798,1.0377,0.0972,0.2403,1.070
17:30:59:799,1.0506,0.0992,0.2391,1.082
17:30:59:799,1.0633,0.0982,0.2313,1.093
17:30:59:804,1.0553,0.1033,0.2044,1.080
17:30:59:805,1.0514,0.1038,0.1958,1.074
17:30:59:809,1.0523,0.0962,0.2066,1.077
17:30:59:814,1.0558,0.1026,0.2139,1.082
17:30:59:819,1.0514,0.1131,0.2132,1.079
17:30:59:824,1.0421,0.1170,0.2100,1.069
17:30:59:829,1.0492,0.1060,0.2142,1.076
17:30:59:844,1.0545,0.0970,0.2058,1.079
17:30:59:846,1.0641,0.0938,0.1951,1.086
17:30:59:846,1.0680,0.0960,0.1900,1.089
17:30:59:850,1.0804,0.0921,0.1868,1.100
17:30:59:855,1.0841,0.0874,0.1728,1.101
17:30:59:862,1.0819,0.0884,0.1596,1.097
17:30:59:865,1.0770,0.0933,0.1614,1.093
17:30:59:872,1.0685,0.0977,0.1741,1.087
17:30:59:874,1.0553,0.0975,0.1843,1.076
17:30:59:879,1.0421,0.0965,0.1890,1.063
17:30:59:886,1.0272,0.1006,0.1924,1.050
17:30:59:889,1.0086,0.1121,0.1919,1.033
17:30:59:896,0.9922,0.1175,0.1865,1.016
17:30:59:899,0.9858,0.1119,0.1816,1.009
17:30:59:905,0.9824,0.1046,0.1802,1.004
17:30:59:911,0.9797,0.1002,0.1780,1.001
17:30:59:915,0.9756,0.0926,0.1743,0.995
17:30:59:919,0.9763,0.0828,0.1684,0.994
17:30:59:925,0.9768,0.0782,0.1616,0.993
17:30:59:930,0.9885,0.0823,0.1560,1.004
17:30:59:939,1.0105,0.0918,0.1504,1.026
17:30:59:945,1.0328,0.1019,0.1320,1.046
17:30:59:946,1.0553,0.1094,0.1017,1.066
17:30:59:954,1.0807,0.1131,0.0658,1.089
17:30:59:955,1.1083,0.1163,0.0274,1.115
17:30:59:960,1.1357,0.1251,0.0003,1.143
17:30:59:966,1.1379,0.1432,-0.0124,1.147
17:30:59:970,1.1301,0.1583,-0.0198,1.141
17:30:59:975,1.1007,0.1654,-0.0317,1.114
17:30:59:980,1.0599,0.1637,-0.0513,1.074
17:30:59:986,1.0462,0.1662,-0.0662,1.061
17:30:59:990,1.0455,0.1774,-0.0696,1.063
17:30:59:995,1.0472,0.1913,-0.0662,1.067
17:31:00:003,1.0521,0.1977,-0.0669,1.073
17:31:00:009,1.0624,0.2009,-0.0713,1.084
17:31:00:011,1.0680,0.1994,-0.0699,1.089
17:31:00:016,1.0697,0.1962,-0.0633,1.089
17:31:00:020,1.0685,0.1896,-0.0581,1.087
17:31:00:026,1.0658,0.1818,-0.0523,1.082
17:31:00:030,1.0543,0.1688,-0.0540,1.069
17:31:00:036,1.0443,0.1622,-0.0506,1.058
17:31:00:040,1.0428,0.1649,-0.0418,1.057
17:31:00:045,1.0186,0.1510,-0.0469,1.031
17:31:00:055,0.9673,0.1234,-0.0523,0.977
17:31:00:056,0.9191,0.0921,-0.0545,0.925
17:31:00:061,0.8920,0.0711,-0.0679,0.897
17:31:00:069,0.8768,0.0586,-0.0992,0.884
17:31:00:078,0.8700,0.0488,-0.1386,0.882
17:31:00:079,0.8732,0.0408,-0.1848,0.893
17:31:00:080,0.8832,0.0317,-0.2322,0.914
17:31:00:087,0.8934,0.0214,-0.2674,0.933
17:31:00:090,0.8969,0.0107,-0.2891,0.942
17:31:00:095,0.8974,-0.0003,-0.2945,0.944
17:31:00:101,0.8969,-0.0113,-0.2852,0.941
17:31:00:106,0.8942,-0.0196,-0.2686,0.934
17:31:00:110,0.8920,-0.0289,-0.2481,0.926
17:31:00:116,0.8883,-0.0423,-0.2222,0.917
17:31:00:121,0.8780,-0.0536,-0.1926,0.901
17:31:00:127,0.8719,-0.0575,-0.1569,0.888
17:31:00:131,0.8744,-0.0499,-0.1283,0.885
17:31:00:136,0.8996,-0.0296,-0.0987,0.905
17:31:00:140,0.9238,-0.0113,-0.0713,0.927
17:31:00:147,0.9394,-0.0084,-0.0513,0.941
17:31:00:158,0.9460,-0.0120,-0.0391,0.947
17:31:00:160,0.9472,-0.0130,-0.0303,0.948
17:31:00:161,0.9477,-0.0076,-0.0259,0.948
17:31:00:167,0.9477,0.0038,-0.0227,0.948
17:31:00:184,0.9685,-0.0059,-0.0024,0.969
17:31:00:186,0.9942,-0.0133,0.0189,0.994
17:31:00:186,1.0157,-0.0174,0.0330,1.016
17:31:00:187,1.0308,-0.0159,0.0477,1.032
17:31:00:192,1.0350,-0.0108,0.0677,1.037
17:31:00:196,1.0257,-0.0010,0.0841,1.029
17:31:00:201,1.0034,0.0104,0.0888,1.007
17:31:00:207,0.9898,0.0087,0.0917,0.994
17:31:00:211,0.9834,0.0060,0.0910,0.988
17:31:00:217,0.9709,0.0146,0.0741,0.974
17:31:00:222,0.9506,0.0320,0.0472,0.952
17:31:00:226,0.9504,0.0302,0.0347,0.952
17:31:00:231,0.9612,0.0222,0.0259,0.962
17:31:00:238,0.9668,0.0175,0.0149,0.967
17:31:00:242,0.9714,0.0122,0.0091,0.972
17:31:00:246,0.9753,0.0041,0.0123,0.975
17:31:00:255,0.9770,-0.0020,0.0230,0.977
