time,gFx,gFy,gFz,TgF
17:39:54:222,0.9968,-0.0196,0.0203,0.997
17:39:54:223,1.0005,-0.0194,0.0409,1.002
17:39:54:226,0.9971,-0.0150,0.0511,0.999
17:39:54:232,0.9976,-0.0096,0.0531,0.999
17:39:54:237,0.9968,-0.0064,0.0570,0.998
17:39:54:242,0.9924,-0.0040,0.0619,0.994
17:39:54:255,0.9863,0.0016,0.0668,0.989
17:39:54:256,0.9841,0.0085,0.0712,0.987
17:39:54:259,0.9836,0.0117,0.0734,0.986
17:39:54:263,0.9834,0.0134,0.0780,0.987
17:39:54:267,0.9810,0.0151,0.0846,0.985
17:39:54:275,0.9778,0.0156,0.0897,0.982
17:39:54:277,0.9748,0.0146,0.0912,0.979
17:39:54:282,0.9704,0.0122,0.0892,0.975
17:39:54:287,0.9643,0.0112,0.0817,0.968
17:39:54:292,0.9587,0.0104,0.0719,0.961
17:39:54:298,0.9575,0.0087,0.0633,0.960
17:39:54:303,0.9558,0.0070,0.0543,0.957
17:39:54:307,0.9550,0.0065,0.0470,0.956
17:39:54:312,0.9597,0.0046,0.0457,0.961
17:39:54:317,0.9651,0.0012,0.0494,0.966
17:39:54:323,0.9648,0.0016,0.0565,0.966
17:39:54:328,0.9619,0.0058,0.0614,0.964
17:39:54:333,0.9636,0.0068,0.0677,0.966
17:39:54:337,0.9668,0.0068,0.0731,0.970
17:39:54:343,0.9690,0.0082,0.0780,0.972
17:39:54:354,0.9731,0.0100,0.0792,0.976
17:39:54:355,0.9780,0.0092,0.0768,0.981
17:39:54:358,0.9795,0.0092,0.0719,0.982
17:39:54:362,0.9819,0.0119,0.0633,0.984
17:39:54:369,0.9883,0.0134,0.0541,0.990
17:39:54:373,0.9898,0.0122,0.0472,0.991
17:39:54:378,0.9871,0.0117,0.0431,0.988
17:39:54:383,0.9858,0.0114,0.0401,0.987
17:39:54:387,0.9861,0.0109,0.0377,0.987
17:39:54:393,0.9854,0.0112,0.0379,0.986
17:39:54:397,0.9839,0.0104,0.0396,0.985
17:39:54:403,0.9812,0.0129,0.0433,0.982
17:39:54:408,0.9836,0.0166,0.0521,0.985
17:39:54:414,0.9929,0.0124,0.0621,0.995
17:39:54:418,1.0022,0.0058,0.0692,1.005
17:39:54:424,1.0081,0.0024,0.0699,1.011
17:39:54:430,1.0115,0.0007,0.0665,1.014
17:39:54:433,1.0122,0.0016,0.0587,1.014
17:39:54:438,1.0122,0.0036,0.0494,1.013
17:39:54:443,1.0127,0.0034,0.0467,1.014
17:39:54:448,1.0115,0.0012,0.0523,1.013
17:39:54:454,1.0076,0.0063,0.0624,1.010
17:39:54:474,1.0086,0.0087,0.0677,1.011
17:39:54:474,1.0039,-0.0020,0.0690,1.006
17:39:54:475,0.9951,-0.0025,0.0714,0.998
17:39:54:476,0.9898,0.0063,0.0702,0.992
17:39:54:480,0.9866,0.0139,0.0626,0.989
17:39:54:485,0.9861,0.0117,0.0550,0.988
17:39:54:488,0.9839,0.0078,0.0499,0.985
17:39:54:493,0.9783,0.0109,0.0445,0.979
