time,gFx,gFy,gFz,TgF
17:36:22:522,1.0291,0.1138,0.1176,1.042
17:36:22:522,1.0228,0.1197,0.1235,1.037
17:36:22:523,1.0144,0.1202,0.1196,1.029
17:36:22:531,1.0242,0.1200,0.1139,1.037
17:36:22:534,1.0274,0.1214,0.1134,1.041
17:36:22:538,1.0328,0.1231,0.1203,1.047
17:36:22:542,1.0372,0.1231,0.1293,1.052
17:36:22:548,1.0494,0.1229,0.1416,1.066
17:36:22:552,1.0743,0.1229,0.1545,1.092
17:36:22:564,1.0858,0.1217,0.1567,1.104
17:36:22:564,1.0932,0.1163,0.1540,1.110
17:36:22:567,1.1015,0.1134,0.1438,1.117
17:36:22:573,1.1083,0.1136,0.1244,1.121
17:36:22:578,1.1122,0.1143,0.1000,1.123
17:36:22:582,1.1015,0.1156,0.0812,1.110
17:36:22:589,1.0978,0.1141,0.0773,1.106
17:36:22:594,1.0941,0.1116,0.0819,1.103
17:36:22:598,1.0873,0.1097,0.0907,1.097
17:36:22:603,1.0804,0.1053,0.0978,1.090
17:36:22:608,1.0672,0.1002,0.0978,1.076
17:36:22:613,1.0572,0.0960,0.1005,1.066
17:36:22:618,1.0426,0.0931,0.1020,1.052
17:36:22:624,1.0086,0.0955,0.1020,1.018
17:36:22:628,0.9905,0.0950,0.1064,1.001
17:36:22:633,0.9871,0.0926,0.1078,0.997
17:36:22:639,0.9829,0.0882,0.1090,0.993
17:36:22:643,0.9692,0.0865,0.1139,0.980
17:36:22:649,0.9607,0.0826,0.1264,0.972
17:36:22:653,0.9592,0.0796,0.1430,0.973
17:36:22:667,0.9563,0.0804,0.1543,0.972
17:36:22:668,0.9462,0.0867,0.1596,0.964
17:36:22:668,0.9436,0.0928,0.1606,0.962
17:36:22:674,0.9467,0.0980,0.1570,0.965
17:36:22:679,0.9382,0.1082,0.1442,0.955
17:36:22:685,0.9272,0.1192,0.1291,0.944
17:36:22:688,0.9306,0.1219,0.1174,0.946
17:36:22:694,0.9316,0.1197,0.1061,0.945
17:36:22:699,0.9326,0.1136,0.1042,0.945
17:36:22:703,0.9367,0.1070,0.1100,0.949
17:36:22:708,0.9299,0.1053,0.1147,0.943
17:36:22:713,0.9277,0.1028,0.1181,0.941
17:36:22:718,0.9306,0.1004,0.1203,0.944
17:36:22:724,0.9362,0.1004,0.1203,0.949
17:36:22:728,0.9360,0.1033,0.1176,0.949
17:36:22:734,0.9399,0.1046,0.1161,0.953
17:36:22:739,0.9453,0.1075,0.1125,0.958
17:36:22:750,0.9482,0.1141,0.1093,0.961
